EmployeeID,ActualAttrition,PredictedRiskScore
110901,0,0.7409644401847744
100375,0,0.4805329745608635
100473,0,0.1605413406817742
102144,0,0.16356885437095622
105762,1,0.6859112958217004
111223,0,0.7070395441333105
104764,0,0.12130839885248529
104216,0,0.2439732553614969
110734,0,0.2519820447895588
111505,0,0.4951216438995373
108511,0,0.18517612216205045
108777,0,0.08889431210251306
113963,0,0.14163391948620177
111583,0,0.2562045743674439
106740,0,0.5799794003835795
113199,0,0.13789454426120357
102379,0,0.2594017292305821
104023,0,0.18540176326591085
109629,0,0.37995935921122465
113450,0,0.377591044248072
112690,0,0.25838487878667443
109745,0,0.3305954515936396
109753,0,0.17646568891013314
113244,0,0.6459813580216964
109382,0,0.6341452776037558
102065,0,0.1394782130925698
110680,0,0.2822188510384774
103358,0,0.22762573176807271
114593,0,0.12344571630679217
103547,0,0.5486760500749972
107268,0,0.41615556070315096
103933,0,0.17846108764050853
103365,0,0.45606929243973904
108828,0,0.4107959677983424
107969,0,0.11822307551299457
106307,0,0.657364298620638
102076,0,0.2105301768682809
112558,1,0.6638105426371437
101560,0,0.4141026980913992
109178,0,0.5438454531751062
109650,1,0.5503747276347846
112522,0,0.5738812506907732
102215,0,0.16187490076498398
105439,1,0.46928247280053775
106697,0,0.485638697143392
110166,0,0.46142581567673374
103733,0,0.6360047626310898
103900,0,0.11034032013472865
114750,0,0.21784338944935341
103963,0,0.0925716413393929
100502,0,0.59862111066664
109808,0,0.32174812791777124
104748,0,0.2984462737747767
107512,0,0.4321709957073928
113829,0,0.20813131000469315
108275,0,0.1770093720448581
100979,0,0.11918599910130387
112907,1,0.5496638057882286
112862,0,0.6308146771116551
114342,0,0.1087292162537803
101581,1,0.5392571461763634
101111,0,0.17820089574856732
111025,0,0.583165289062976
104345,0,0.4171623572182923
103554,0,0.09858749950623173
111082,0,0.24412709733313642
109826,0,0.19877474506948695
105493,1,0.546410117879848
102283,0,0.17098349167958204
104282,1,0.6530369314697457
106412,0,0.13120712078221644
104225,0,0.25551199878806724
107675,0,0.5039019039386817
112675,0,0.19119688683402858
101483,0,0.18643955217275457
104189,1,0.6903308922511029
110041,0,0.668210420282321
111481,0,0.19431595347478334
107031,0,0.20539604860975683
100854,0,0.8269293332813528
111894,0,0.17650349098961152
113529,0,0.3535284082017246
113416,0,0.6028358440447087
103229,0,0.6658075057449333
111859,0,0.44403858005832586
103672,0,0.27164523424555476
111064,0,0.12949076219393751
102354,0,0.25856369721705336
106041,1,0.29876927274929
113662,1,0.2400334184155732
107524,0,0.6490814086225575
103342,0,0.45392143711759
108948,1,0.44514925229065044
109029,0,0.26270850555804254
112395,1,0.6394726296950459
107311,1,0.3700131016616462
107085,0,0.3571099498304981
113397,0,0.1417555322041688
103264,0,0.14913367383030077
114347,0,0.747031190657131
105431,0,0.18799775181293069
104812,0,0.33885795737984026
106478,0,0.509317799118362
112050,0,0.5943198678729845
103225,1,0.6016273435765636
106576,0,0.19431631637821176
110282,0,0.23972439408796262
100496,1,0.3587988907141707
105817,0,0.5410078439583373
111626,1,0.7658139170918015
110973,0,0.21550120808853876
104238,1,0.2742241801521409
114575,0,0.39315930180165976
105547,0,0.7302194825089212
103756,0,0.6877280240821487
102244,0,0.2583375560287003
102628,0,0.09388477523995968
101569,0,0.1110874909704089
102467,0,0.6922971510726476
109885,0,0.4445717838037738
111541,0,0.23281199222886226
100162,0,0.5870603376129706
101553,0,0.6165747407706127
101904,0,0.10587346018194815
100536,0,0.44854350527592896
113005,0,0.14622325699719277
113211,0,0.45931496756509677
104860,0,0.34631127879655205
